date,outlet,headline,portfolio_company,sentiment,journalist_name,key_quote
2026-05-22,TechCrunch,"Northwind Robotics raises $42M to take warehouse bots beyond pilots",Northwind Robotics,Positive,Sara Vance,"Northwind is one of the few warehouse-automation companies with real customer revenue, not just demos"
2026-05-23,Bloomberg,"Robotics startups are quietly winning logistics contracts the giants used to own",Northwind Robotics,Positive,James Okafor,"Northwind's deal with a top-three parcel carrier this month signals a tipping point"
2026-05-24,STAT News,"A new platform approach to oncology — and the firm betting on it",Larkspur Bio,Positive,Dr. Elena Marsh,"Larkspur's hiring of Dr. Osei is the clearest signal yet that the platform is moving toward the clinic"
2026-05-26,Wall Street Journal,"Specialty coffee chains see fresh capital despite cooling consumer market",Hollow Oak Coffee,Neutral,Priya Subramanian,"Hollow Oak's regional density strategy is unusual in a category that usually races for national footprint"
2026-05-25,Utility Dive,"Grid-balancing software gets its first utility customer in the Northwest",Meridian Grid,Positive,Tom Reilly,"Meridian's approach sidesteps the regulatory thicket that has slowed competitors"
2026-05-21,The Information,"Sable Analytics succession plan raises questions about late-stage data startups",Sable Analytics,Mixed,Hannah Liu,"The Chen elevation is internally popular but late-stage data startups have a poor track record of founder transitions"
2026-05-23,Bloomberg,"Inside the warehouse robot supply chain — who's actually shipping",Northwind Robotics,Positive,James Okafor,"Northwind and one competitor are now the only two startups consistently shipping units at scale"
2026-05-20,Forbes,"The bridge round comeback: extending runway in a tighter market",Carbide Print,Neutral,Derek Holm,"Carbide Print's bridge is the kind of patient capital that founders quietly appreciate"
2026-05-26,STAT News,"FDA clears Larkspur Bio IND — what comes next",Larkspur Bio,Positive,Dr. Elena Marsh,"The IND clearance comes faster than most platform-stage companies achieve"
2026-05-22,Axios,"Robotics raise watch: who got money this week",Northwind Robotics,Positive,Kelly Burns,"Argent-led round puts Northwind near unicorn territory"
2026-05-25,Wired,"Are warehouse robots actually saving anyone money? A skeptical look",Northwind Robotics,Mixed,Sara Vance,"Even Northwind's customer references concede the ROI math depends on labor assumptions that may not hold"
2026-05-24,Reuters,"Coffee chain expansion plans test consumer wallet",Hollow Oak Coffee,Neutral,Marcus Chen,"Hollow Oak's Series B is large for a regional chain — investors are betting on a thesis that's not yet proven"
2026-05-26,Local Spotlight Podcast,"Pacific Northwest utility goes high-tech",Meridian Grid,Positive,Host: R. Patel,"The Meridian pilot is exactly the kind of vendor relationship our co-op has been looking for"
2026-05-23,Substack: TheGridDispatch,"Meridian Grid is the company to watch in DERMS",Meridian Grid,Positive,Anonymous,"If Meridian closes two more utility customers this year, the category re-prices"
2026-05-21,Endpoints News,"Larkspur Bio's CMO hire signals platform-to-clinic shift",Larkspur Bio,Positive,Amanda Rios,"Osei joining is a stronger signal than most platform companies ever get"
