date,lp_id,topic,what_they_asked,what_was_promised,follow_up_status
2025-09-12,LP-001,Annual review,How are we sizing AI infra exposure relative to peer funds?,Send peer benchmarking deck with AI infra allocation comparisons,closed
2025-12-04,LP-001,Q4 check-in,Concerned about concentration in top 3 positions,Share concentration analysis + downside scenarios by Q1,closed
2026-03-14,LP-001,Q1 update meeting,Asked about exit timing for top-performing AI infra position,Share updated DPI projection model in next 60 days,open
2026-03-14,LP-001,Q1 update meeting,Wanted view on regulatory risk in AI infrastructure,Circulate internal memo on regulatory landscape,in_progress
2025-08-21,LP-002,Onboarding refresh,Asked for deeper view on vertical SaaS thesis,Share thesis memo + portfolio mapping,closed
2025-11-18,LP-002,Q3 update,Pushed on healthcare IT exposure — wants more,Flag healthcare IT deals in pipeline going forward,in_progress
2025-11-18,LP-002,Q3 update,Asked about ESG reporting cadence,Begin quarterly ESG appendix starting Q1 2026,open
2026-02-28,LP-002,Q4 update meeting,Concerned about a mark-up without realized exit,Send DPI walk + exit pipeline view,open
2025-10-03,LP-003,Co-invest opportunity,Wanted first look at AI-native co-invest deals,Add to co-invest priority list,closed
2026-01-15,LP-003,Co-invest follow-up,Asked when next co-invest would surface,Notify within 48hrs of next AI-native co-invest opportunity,open
2026-04-09,LP-003,Q1 update,Asked about founder profiles in recent additions,Share founder bios for last 3 portfolio adds,open
2025-07-30,LP-004,Annual review,Pressed on APAC exposure — wants more,Build APAC pipeline view for next annual,in_progress
2025-10-22,LP-004,Energy transition discussion,Asked about climate-tech additions,Share climate-tech thesis + pipeline by year-end,closed
2026-01-22,LP-004,Q4 update,Concerned about US-only deployment in last 4 deals,Share geographic deployment breakdown + forward pipeline,open
