initials,role,function,seniority,ai_maturity,daily_work,pain_points,recommended_focus
MS,Founder & Managing Partner,Investment,C-suite,High (Codex-heavy for analysis and research),"Company evaluation, capital allocation decisions, founder due diligence on public and private investments","Distinguishing great operators from mediocre ones; assessing sustainable unit economics; sorting signal from noise in IPO/post-IPO operator quality","Operator-quality screener for public companies — surface signals from filings, earnings transcripts, and press"
CJ,Partner Co-Head of Private Investments,Investment,C-suite,Medium (DAU on Chat/Claude for sparring and research),"Portfolio company validation, trend-impact analysis, investment sourcing across private markets","Validating whether innovation tailwinds actually support portfolio companies; avoiding theme-chasing; converting expert calls into actionable insights","Memo-synthesis tool that converts expert call notes into validated investment theses with theme-vs-reality gating"
JM,Partner,Investment,C-suite,High (Codex-heavy; personally experimenting with agents),"Strategic partner relationship management, portfolio intelligence synthesis, leadership alignment across functions","Orchestrating insights across the firm so every data point reaches the right person; managing relationships across many companies without losing context","Portfolio intelligence router — synthesize updates from multiple sources and route to the right partner with action context"
DG,Partner,Investment,C-suite,Medium (curious but not yet hands-on),"Diligence, sector coverage, ongoing portfolio engagement","Keeping current on sector developments; tracking competitive landscape changes across many portfolio companies","Weekly sector brief that connects company news, hiring signals, and financials into one decision-ready page"
PR,President & COO,Operations,C-suite,Low-Medium (Chat/Claude only),"Firm operations, leadership team coordination, business process oversight","Coordination overhead across multiple workstreams; ensuring decisions are made with full context; making operations leverage AI without disrupting compliance","Cross-functional weekly ops brief — synthesize updates from investment, finance, IR, and compliance into one Monday morning view"
KC,Partner Head of Business Development & IR,Investor Relations,C-suite,Low-Medium (Chat/Claude),"LP relationship management, fundraising communications, investor reporting","Personalizing communication across many LPs; preparing for meetings with full context on each LP's interests; turning quarterly updates into tailored narratives","LP meeting brief generator — synthesize prior conversations, portfolio updates, and LP-specific interests into a pre-meeting brief"
MD,Partner General Counsel & Chief Compliance Officer,Legal/Compliance,C-suite,Low (gatekeeper not user),"RIA/SEC compliance, audit trails, model risk management, vendor review","Ensuring every AI use case has data residency, prompt logging, and audit-trail visibility; reviewing third-party AI vendors quickly without slowing the firm","Compliance review tool — analyze a vendor or workflow against an RIA compliance checklist and produce a risk-rated memo"
NM,Director of Research,Research,Senior IC,Implicit (owns the data layer),"Data hygiene and ingestion, portfolio monitoring, research synthesis across companies","Manual labor to make all ingested data queryable; translating raw data into actionable intelligence; surfacing what's changed week-over-week","Portfolio change detector — diff this week's data against last week's and surface what actually changed for each company"
LD,Chief Financial Officer,Finance,C-suite,Low (Chat/Claude exploration),"Firm financials, fund accounting, vendor management, capital calls and distributions","Reconciling data across many systems; turning routine financial close work into faster cycles; producing partner-ready financial summaries","Monthly financial close brief — connect spend, vendor invoices, and budget variance into one partner-facing page"
EK,Director of Communications,Communications,Senior IC,Low-Medium,"Internal and external communications, press relations, content production, brand voice maintenance across firm partners","Maintaining consistent voice across multiple partners' content; turning portfolio company news into shareable narratives; tracking media coverage across portfolio","Comms briefing tool — scan portfolio company news and media mentions, surface what to amplify or respond to, with draft language in the firm's voice"
